Date,price_change,high_low_ratio,open_close_ratio,sma_20,sma_50,sma_200,rsi_14,monthly_momentum,monthly_volatility,volume_trend,macd,macd_signal,price_momentum,stoch_%K,stoch_%D,williams_%R,obv,mfi_14
2024-05-09 00:00:00-04:00,0.0018640987283840005,1.0089281366945333,1.0006019514449214,172.5520004272461,172.39919982910158,181.03230018615722,80.11697938818295,1.0848323467130285,0.019880824914391127,1.0605045661734696,2.3717046793591976,0.5296347589692387,1.066693686796134,89.06885675748954,83.47088518128106,-10.931143242510458,-540088400.0,74.17376554699085
2024-05-10 00:00:00-04:00,0.01001423758369735,1.0140025426566983,0.9891097703534563,173.02850112915038,172.46220001220703,180.98705024719237,75.94212792266549,1.0878175830498746,0.01991181971875203,1.0705406526887589,2.8630592866120423,0.9963196644977995,0.9982004481281066,82.1105225512859,84.19767145201992,-17.889477448714093,-590847900.0,68.75962323279118
2024-05-13 00:00:00-04:00,-0.008235380680192916,1.0162520802488457,1.0101064780873206,173.3535011291504,172.5082000732422,180.92980026245118,77.41936458837966,1.0910120657024653,0.01981594470691483,1.069429806762934,3.0941423824064884,1.4158842080795373,1.0251499196333524,96.07464170331625,89.08467367069723,-3.9253582966837515,-518803100.0,69.7038729935331
2024-05-14 00:00:00-04:00,0.017645428427694565,1.0134330573714616,0.9954906788522914,174.03300094604492,172.64059997558593,180.89510025024413,76.78207621762944,1.0642139278124305,0.018084446546130607,1.0510472993732058,3.4975929464357023,1.8322259557507703,1.027576748616294,95.68233260207293,91.28916561889169,-4.317667397927077,-466409500.0,70.00253399287791
2024-05-15 00:00:00-04:00,0.006173469529849429,1.010789681883437,1.0004268358009973,174.93550033569335,172.88719970703124,180.85310020446778,77.70327682450002,1.0616255419765348,0.0180555519346425,1.0129774851895927,3.8655654745158756,2.2388938595037913,1.0381963200050368,95.68248391061492,95.81315273866805,-4.317516089385079,-396009500.0,70.80651364824645
2024-05-16 00:00:00-04:00,0.012217940748059153,1.0175054644007726,0.9904596376399547,176.02150039672853,173.27919982910157,180.81945022583008,79.07700722027744,1.0986160086776022,0.017277260457272587,1.004699183038879,4.292489730088306,2.6496130336206942,1.0285527919192987,94.27007980504283,95.21163210591023,-5.7299201949571765,-343164300.0,71.20152069681315
2024-05-17 00:00:00-04:00,0.000632485327932919,1.0075925467341638,1.0033186098554867,177.1615005493164,173.69359985351562,180.79060020446778,76.27608077803674,1.1207934281808152,0.016487497726278808,0.9872938399451403,4.587629541236993,3.037216335143954,1.0372575359285916,94.40649986781271,94.7863545278235,-5.593500132187294,-301881400.0,66.07584349550854
2024-05-20 00:00:00-04:00,0.00015802138577525326,1.0086161589275777,0.9981039626080499,178.40500030517578,174.11099975585938,180.77705017089843,85.52314887032591,1.1301785423642112,0.016257839642548243,0.9840231005433181,4.768976820933801,3.3835684323019235,1.0255529017502063,96.14202114422868,94.93953360569475,-3.857978855771315,-257520100.0,72.067518032435
2024-05-21 00:00:00-04:00,0.006162101432736655,1.0153960306157468,0.9910490393887474,179.66500015258788,174.51719970703124,180.77640014648438,89.16071498010344,1.1436781666944213,0.016056664410013126,0.9873061671051427,4.950043885255724,3.696863522892684,1.0262498725924034,98.2601204773822,96.26954716314121,-1.739879522617805,-215210700.0,76.9740576277452
2024-05-22 00:00:00-04:00,0.006857270013722827,1.0094803979465372,0.9934493905607317,180.93750076293946,174.90919982910157,180.82820014953614,82.90972200365985,1.1657576127485796,0.015518729478310506,0.9742429781572928,5.139997224688074,3.985490263251762,1.0062196535325159,84.5160321763324,92.97272459931445,-15.483967823667594,-249859200.0,71.5386767364474
2024-05-23 00:00:00-04:00,-0.0075384047882530725,1.0134020234114585,1.0071765867982136,182.03150024414063,175.26259979248047,180.88845008850097,58.40537648593583,1.151109491750924,0.01582741830660424,0.9680846047341263,5.114575118985613,4.211307234398532,0.9844079671714188,52.096789873093726,78.29098084226945,-47.903210126906274,-300865100.0,60.68902541607878
